Player,Match,Balls Faced,Wickets,Runs,Balls Bowled,Maiden Overs,Fours,Sixes
A Uniyal (Chile),3,3,1,20,24,0,2,0
C Waiswa (UGA),4,2,1,20,14,0,1,1
Aziz Mohammad (Belg),3,3,1,19,25,1,0,2
Bilal Ahmed (Serb),1,1,0,19,28,0,1,1
CJ Dala (SA),9,4,3,19,28,0,1,0
Fahad Tariq (UAE),6,5,1,19,24,2,1,1
Ibrahim Hassan (Mald),11,7,2,19,41,3,0,0
Imran Haider (ROM),2,2,0,19,26,0,2,1
Imran Tahir (SA/World),38,4,3,19,18,0,1,1
Irfan Mir (Chile),4,3,2,19,7,1,0,2
Jaspreet Singh (ITA),5,2,0,19,23,0,1,0
Junaid Sheikh (NOR),5,3,0,19,20,0,1,1
HGJM Kulatunga (SL),2,2,0,19,38,0,0,0
CJ McKay (AUS),6,4,2,19,22,1,1,1
Mohammad Ahsan (KUW),6,3,0,19,20,0,0,1
Muktar Ali (BDESH),1,1,1,19,15,0,1,1
SN Netravalkar (USA),8,2,1,19,15,0,1,1
HM Nicholls (NZ),5,4,0,19,28,0,2,0
AE Paraam (SGP),3,2,1,19,10,0,2,1
AM Phangiso (SA),16,3,0,19,29,0,1,0
RLB Rambukwella (SL),2,1,0,19,16,0,1,1
SV Samson (INDIA),1,1,0,19,24,0,1,0
L Shafeeg (Mald),3,1,1,19,11,0,2,1
Sufyan Mehmood (OMAN),3,2,1,19,41,0,2,0
KOK Williams (WI),24,7,4,19,17,1,1,1
N Yordanov (),2,2,1,19,11,1,0,2
JD Baker (Samoa),4,3,3,18,14,0,3,0
V Baskaran (SGP),12,5,3,18,23,1,0,0
Bilal Khan (OMAN),32,10,7,18,28,2,1,0
LA Collado (GIBR),4,3,2,18,34,0,0,0
LHD Dilhara (SL),2,1,1,18,9,0,0,1
XJ Doherty (AUS),11,4,3,18,17,0,1,0
BE Hendricks (SA),11,3,1,18,21,0,0,1
Khurram Chohan (CAN),4,4,2,18,14,0,1,1
JB Little (IRE),11,6,2,18,16,2,3,0
AK Markram (SA),2,2,0,18,17,0,1,1
SW Masakadza (ZIM),7,5,1,18,24,1,1,0
Nauman Anwar (PAK),1,1,0,18,10,0,2,1
Naved-ul-Hasan (PAK),4,2,1,18,16,0,0,2
Nazmul Islam (BDESH),13,4,3,18,17,0,2,0
D Nikolov (),3,2,0,18,33,0,2,0
Raza Hasan (PAK),10,4,4,18,25,0,2,0
PADLR Sandakan (SL),14,4,2,18,24,0,2,0
S Snater (NL),13,6,1,18,16,2,0,1
S Thuraisingam (CAN),3,2,1,18,24,0,1,0
JW Wilson (NZ),1,1,0,18,14,0,2,0
HN Ya France (NAM),6,3,0,18,20,1,1,1
TL Best (WI),6,1,1,17,9,0,0,2
D Bishoo (WI),7,4,2,17,29,1,2,0
TA Blundell (NZ),3,2,1,17,21,0,0,0
LA Dawson (ENG),6,2,1,17,8,0,2,1
RR Emrit (WI),4,3,0,17,27,0,0,1
D Gim (NGA),6,4,2,17,32,1,0,0
S Kizilkaya (TKY),4,4,0,17,28,1,3,0
L Louwrens (NAM),1,1,1,17,15,0,1,1
JH Mensah (Ghana),2,2,0,17,10,0,1,1
LN Onyango (KENYA),5,4,2,17,21,0,0,0
TK Patel (USA),7,3,3,17,18,0,1,0
K Pierre (WI),8,4,2,17,23,0,2,0
Rubel Hossain (BDESH),27,14,9,17,30,4,1,0
GR Russ (PHI),3,2,1,17,29,0,0,0
SE Rutherford (WI),3,3,0,17,23,0,1,0
Shafraz Jaleel (Mald),4,3,0,17,14,2,1,1
JR Singleton (),3,3,0,17,26,0,3,0
T Singye (BHU),2,2,0,17,25,0,2,0
OR Willis (Caym),3,3,0,17,32,0,0,1
Zain ul Tashnam (CRC),3,2,1,17,26,0,1,0
IKO Aboagye (Ghana),4,4,0,16,37,1,0,0
A Ahmadhel (),3,2,0,16,16,0,2,0
P Arrighi (Arg),5,4,0,16,46,1,0,0
J Barker (LUX),4,2,0,16,16,1,3,0
KK Bishnoi (),3,2,1,16,18,0,1,0
M Chauhan (Fin),2,2,0,16,8,0,0,2
U Dorji (BHU),2,2,0,16,17,0,2,0
CJ Ferguson (AUS),3,3,0,16,19,1,1,0
LF Goncalves (),3,2,0,16,21,0,1,0
EH Hutchinson (USA),2,1,0,16,8,0,3,0
LS Livingstone (ENG),2,2,0,16,19,1,1,0
Mehrab Hossain jnr (BDESH),2,2,1,16,25,0,1,0
K Modise (Botsw),3,3,0,16,16,1,2,1
Najmul Hossain Shanto (BDESH),2,2,0,16,17,0,1,0
F Nsubuga (UGA),3,3,1,16,15,0,0,2
JB Reva (PNG),9,4,0,16,22,0,1,1
BJ Rohrer (AUS),1,1,0,16,14,0,0,1
EHSN Silva (UAE),2,2,1,16,22,0,1,0
DW Steyn (SA),44,10,5,16,23,1,1,0
Aamer Yamin (PAK),2,1,1,15,6,0,1,1
AB Agarkar (INDIA),4,2,0,15,11,0,2,0
Anowarul Islam (THAI),4,4,0,15,20,1,1,1
NW Bracken (AUS),19,6,3,15,22,1,1,0
TL Chatara (ZIM),21,3,0,15,18,1,1,0
K Christie (HKG),11,4,2,15,20,0,0,0
GL Cloete (SA),2,2,0,15,15,0,2,0
SS Cottrell (WI),22,7,4,15,22,1,2,0
N Dutta (CAN),11,3,2,15,13,0,1,0
KR Ebanks (Caym),5,4,0,15,27,1,1,0
J Hill (PHI),4,3,0,15,20,0,3,0
E Katchay (CAN),4,3,2,15,25,1,0,0
AC Kose (TKY),4,4,0,15,33,3,3,0
Nasrulla Rana (HKG),8,4,2,15,24,1,0,0
RN Patel (KENYA),2,2,1,15,25,1,1,0
LA Pomersbach (AUS),1,1,0,15,7,0,1,1
RW Price (ZIM),16,9,4,15,28,1,1,0
Shabir Noori (AFG),1,1,0,15,18,0,1,0
J Smits (NL),6,2,1,15,27,0,0,0
AO Suji (KENYA),8,5,2,15,29,0,0,0
MK Tiwary (INDIA),3,1,0,15,17,0,0,0
Usama Master (MWI),6,2,0,15,13,1,1,0
JDF Vandersay (SL),10,7,6,15,17,0,2,0
VB van Jaarsveld (SA),3,3,0,15,23,1,0,0
Vikramjit Singh (NL),1,1,0,15,13,0,1,0
Abul Hasan (BDESH),5,2,0,14,11,0,2,0
CM Akachukwu (NGA),8,5,3,14,15,0,0,1
Aminul Islam (BDESH),4,3,2,14,14,0,2,0
Aqib Iqbal (Aut),5,1,0,14,6,0,0,1
SG Borthwick (ENG),1,1,0,14,16,0,2,0
G Dutta (Mex),7,6,0,14,28,3,1,0
ST Finn (ENG),21,3,3,14,19,0,1,0
Ibrahim Zadran (AFG),3,3,0,14,26,0,0,1
P Jayeshbhai Patel (PNM),2,2,1,14,11,0,0,0
T Langa (VAN),1,1,0,14,9,0,2,0
JAH Marshall (NZ),3,2,0,14,15,0,2,0
JWN Moses (Botsw),3,3,0,14,20,0,0,1
N Nankov (),3,2,1,14,20,0,1,0
AN Petersen (SA),2,2,0,14,19,0,1,0
VD Philander (SA),7,4,0,14,28,0,0,0
S Pillai (CRC),3,3,0,14,27,0,1,0
C Prasad (CRC),3,3,1,14,29,1,1,0
Rakibul Hasan (ITA),8,4,1,14,17,1,1,0
Ravinder Singh (MALTA),2,2,0,14,13,0,0,1
Saqlain Haider (UAE),6,5,1,14,35,0,0,0
Shahzad Muhammad (Mex),2,1,0,14,7,0,1,1
S Smith (BMUDA),5,3,3,14,27,0,0,0
S Varathappan (KUW),3,3,0,14,14,1,3,0
VS Wategaonkar (OMAN),2,1,0,14,14,0,1,0
T Whiteman (LUX),4,2,1,14,10,1,0,1
CM Wright (SCOT),3,1,0,14,18,0,0,0
Abdullah Sheikh (NOR),2,2,0,13,18,0,1,0
AR Adams (NZ),4,2,1,13,12,0,1,0
M Cope (LUX),2,2,1,13,15,0,2,0
J Edness (BMUDA),3,3,0,13,28,1,0,0
JA Fitzgerald (GIBR),4,2,2,13,10,0,0,1
CR Foggo (BMUDA),3,3,0,13,17,1,2,0
SP Gauchan (NEPAL),9,5,2,13,43,2,0,0
PA Hitchcock (NZ),1,1,0,13,11,0,1,1
SHT Kandamby (SL),5,4,0,13,21,1,0,0
SKW Kelly (BMUDA),3,2,2,13,24,0,0,0
Z Khan (INDIA),17,4,2,13,10,0,0,1
Lucky Ali (DEN),2,2,0,13,18,0,1,0
JL Martel (GUE),3,1,1,13,6,0,1,1
J Mees (LUX),3,3,2,13,20,0,1,0
Mohammad Nawaz (3) (PAK),16,2,0,13,20,0,1,0
Mohammad Rafique (BDESH),1,1,0,13,5,0,3,0
Muhammad Hamayun (Saudi),4,2,0,13,10,0,1,1
HC Overdijk (NL),4,1,0,13,7,0,2,0
CMW Read (ENG),1,1,0,13,11,0,2,0
JA Richardson (AUS),9,3,2,13,6,1,2,0
OFJ Tonuu (Samoa),4,3,1,13,18,0,0,0
Usman Mushtaq (UAE),3,2,1,13,24,0,1,0
Washeem Abbas (MALTA),2,2,1,13,7,0,0,1
J Anderson (IRE),4,2,0,12,18,0,1,0
Arslan Ahmed (PORT),3,3,0,12,32,1,1,0
Asad Mohammad (GER),9,4,1,12,12,0,2,0
Avi Dixit (SGP),1,1,1,12,8,0,0,1
HMCM Bandara (SL),4,3,1,12,15,0,0,0
Fazal Niazai (AFG),1,1,0,12,15,0,1,0
CJ Gannon (USA),4,3,2,12,9,0,0,1
R Gaznavi (SGP),2,2,0,12,12,0,2,0
H Helva (TKY),4,4,0,12,25,2,2,0
HJH Marshall (NZ),3,3,0,12,14,0,0,0
D Mejia (CRC),3,1,0,12,10,0,2,0
NV Ojha (INDIA),2,2,0,12,27,0,2,0
A Patel (MWI),2,2,1,12,23,0,2,0
M Patel (Chile),3,3,0,12,15,1,1,1
KOA Powell (WI),1,1,0,12,14,0,1,0
Raag Kapur (HKG),4,3,1,12,16,0,1,0
R Rampaul (WI),23,6,5,12,21,0,0,0
MA Starc (AUS),28,6,2,12,18,0,0,0
Ali Ivan (Mald),1,1,0,11,39,0,0,0
Apon Mustafizur (Serb),2,2,0,11,28,1,2,0
Atif Kamal (LUX),4,3,0,11,18,2,1,0
A Bulow (DEN),2,1,0,11,13,0,0,1
JD Campbell (WI),2,2,0,11,16,1,2,0
A Djorovic (Serb),2,2,0,11,26,0,1,0
Fayyaz Ahmed (UAE),1,1,0,11,12,0,2,0
S Goustis (),3,1,0,11,19,0,0,0
AJ Hall (SA),2,1,0,11,10,0,1,0
Inzamam-ul-Haq (PAK),1,1,1,11,15,0,0,1
Khurram Manzoor (PAK),3,3,0,11,27,1,1,0
KS Lokuarachchi (SL),2,2,0,11,13,1,1,0
WK McCallan (IRE),9,3,2,11,15,1,1,0
OC McCoy (WI),2,2,1,11,10,0,1,1
Mahedi Hasan (BDESH),1,1,0,11,11,0,1,0
WJ Malinda (Mald),3,2,1,11,9,0,0,1
AK Mandal (NEPAL),2,2,0,11,25,0,0,0
D Marks (MALTA),2,2,2,11,12,0,0,0
BJ McCarthy (IRE),6,3,1,11,7,2,0,1
AA Mulla (CAN),4,4,0,11,19,1,2,0
J Reb (Serb),2,2,0,11,14,0,1,0
Saqlain Arshad (QAT),2,1,0,11,10,0,0,1
V Shetty (UAE),2,2,1,11,13,0,1,0
Suresh Kumar (Peru),2,2,1,11,15,0,0,0
SW Tait (AUS),21,6,2,11,15,1,0,1
P Taylor (CZK-R),7,2,1,11,9,0,1,0
H Thaker (CAN),1,1,0,11,9,0,0,1
TCW Veillard (GUE),4,2,1,11,17,0,0,0
RM West (IRE),5,4,1,11,11,0,1,0
Yasir Shah (PAK),2,1,1,11,7,0,1,0
Zeshan Arif (Aut),4,1,1,11,8,0,2,0
Aftab Ahmed (2) (DEN),1,1,0,10,13,0,1,0
R Avery (),4,3,0,10,24,1,0,0
CS Baugh (WI),3,3,0,10,12,0,1,0
FH Edwards (WI),20,4,2,10,9,1,1,0
N Pradeep (SL),14,6,5,10,15,1,1,0
S Hallett (Peru),4,4,0,10,16,1,1,0
MJ Henry (NZ),6,2,1,10,5,0,2,0
S Jyoti (CAN),2,2,1,10,20,1,0,0
G Kaltongga (VAN),3,2,0,10,12,1,1,0
RWT Key (ENG),1,1,1,10,8,0,0,0
ZE Matsinhe (Moz),7,4,1,10,17,1,0,1
Mohammad Ghazanfar (HKG),5,2,1,10,10,0,1,0
S Nerandzic (Serb),2,2,0,10,33,0,1,0
M Ntini (SA),10,4,2,10,11,1,2,0
PP Ojha (INDIA),6,1,1,10,6,0,0,1
BA Parchment (WI),1,1,0,10,6,0,1,1
SL Perera (Ghana),2,2,0,10,23,0,0,0
P Raho (PNG),2,2,2,10,6,0,0,1
SHA Rance (NZ),8,3,0,10,21,0,0,0
A Rangaswamy (Botsw),4,3,0,10,13,1,0,1
D Ravu (PNG),17,4,1,10,9,1,1,0
GA Reynold (Blz),3,2,1,10,10,0,0,1
ACL Richards (WI),1,1,0,10,15,0,1,0
ZE Surkari (CAN),4,3,0,10,33,1,0,0
SR Tendulkar (INDIA),1,1,0,10,12,0,2,0
MA Wood (ENG),5,2,2,10,12,0,1,0
Zahoor Khan (UAE),18,5,2,10,19,0,1,0
Zakir Hasan (BDESH),1,1,0,10,9,0,1,0
Abdul Rashid (Belg),1,1,0,9,24,0,0,0
Afsar Zazai (AFG),1,1,0,9,21,0,0,0
Anam Mollik (ITA),2,1,0,9,10,0,1,0
P Arora (Mex),2,2,1,9,4,0,0,1
HH Banner (Blz),3,2,1,9,10,0,0,1
JJ Celestine (BMUDA),3,3,0,9,17,1,0,0
FRJ Coleman (SCOT),1,1,0,9,13,0,1,0
BM Duckett (ENG),1,1,0,9,7,0,1,0
Elias Sunny (BDESH),7,4,2,9,9,0,1,0
H Hiri (PNG),5,4,0,9,15,0,0,0
Iqbal Hussain (QAT),15,5,3,9,10,1,1,0
NA Janes (THAI),2,2,0,9,11,1,1,0
Kaleemullah (OMAN),6,2,0,9,7,1,0,1
JS Kundi (KENYA),6,4,0,9,22,1,1,0
R McLaren (SA),12,4,3,9,13,0,0,0
Mohammad Asif (PAK),11,3,3,9,3,0,2,0
Muhammad Asjed (ESP),2,1,0,9,9,0,1,0
Muhammad Wafiq (MAL),4,3,1,9,12,1,1,0
JS Patel (NZ),11,4,1,9,14,1,1,0
WKD Perkins (WI),1,1,0,9,11,0,1,0
VRCF Poubel (),3,3,2,9,15,0,0,0
A Poulose (OMAN),3,3,0,9,14,2,2,0
KW Richardson (AUS),15,2,0,9,8,1,0,0
IH Romaine (BMUDA),2,2,0,9,20,0,0,0
Sakib Hasan (Serb),2,2,0,9,7,0,1,0
MM Sarwar (KUW),5,3,1,9,9,1,0,1
RAJ Smith (SCOT),2,1,1,9,7,0,1,0
B Stanlake (AUS),19,2,1,9,12,0,0,1
Syazrul Idrus (MAL),2,1,1,9,8,0,1,0
Usman Ali (Saudi),5,2,1,9,14,0,1,0
T Wangchuk jnr (BHU),2,2,0,9,17,1,2,0
S Waqas Ahmed (NOR),5,3,1,9,20,1,0,0
Abbas Saad (Saudi),2,2,0,8,8,1,1,0
S Appu (MALTA),4,4,1,8,14,0,0,0
B Banerjee (Mex),6,4,2,8,18,2,0,0
AM Blignaut (ZIM),1,1,0,8,8,0,1,0
GH Bodi (SA),1,1,0,8,25,0,0,0
JJ Bumrah (INDIA),42,6,4,8,13,1,1,0
Charanjeet Singh (ITA),3,2,2,8,9,0,1,0
H Dandapani (Fin),5,3,2,8,15,0,0,0
AS Dean (CAN),2,2,0,8,10,0,0,0
B Fernando (SL),2,1,1,8,12,0,1,0
JD Freyone (GIBR),4,4,0,8,29,2,0,0
Hamza Dar (ESP),1,1,0,8,6,0,1,0
HMRKB Herath (SL),17,6,3,8,12,0,0,0
E Isaneez (UGA),3,2,2,8,13,0,0,0
S Randiv (SL),7,2,0,8,6,0,1,0
N Khanna (MALTA),2,2,0,8,12,0,1,0
Khushdil Shah (PAK),1,1,0,8,11,0,0,0
Kuldeep Singh (PHI),4,3,0,8,16,0,0,0
NCK Liyanage (MAL),6,3,1,8,8,1,1,0
BAW Mendis (SL),39,8,5,8,17,0,1,0
M Mooketsi (Botsw),7,5,0,8,24,1,0,0
Mujeeb Ur Rahman (AFG),16,3,3,8,8,0,1,0
WA Peatfield (GUE),8,2,1,8,12,0,1,0
CAK Rajitha (SL),10,4,2,8,23,1,0,0
Shahadat Hossain (BDESH),6,5,3,8,12,1,0,0
I Sharma (INDIA),14,3,2,8,9,1,1,0
Simranjit Singh (ITA),1,1,0,8,9,0,0,0
O Thomas (WI),10,4,2,8,11,2,2,0
R Vishwanath (LUX),2,2,0,8,10,0,1,0
BV Vitori (ZIM),11,2,2,8,7,0,0,0
Yasar Idrees (KUW),1,1,0,8,4,0,0,1
Al-Amin Hossain (BDESH),28,6,4,7,12,1,1,0
RP Arnold (SL),1,1,0,7,7,0,0,0
Aslam Mohammad (),3,1,0,7,8,0,1,0
PRP Boissevain (NL),4,2,1,7,7,1,1,0
NB Budayair (NEPAL),4,3,1,7,19,1,0,0
MA Carberry (ENG),1,1,0,7,7,0,1,0
PKD Chase (IRE),12,5,4,7,13,0,1,0
DK Dahyabhai Ahir (PNM),2,1,0,7,10,0,1,0
P Danci (ROM),2,2,1,7,11,0,1,0
DC Delany (IRE),8,2,0,7,6,1,0,0
P Kumar (INDIA),10,3,0,7,16,1,0,0
Kushal Malla (NEPAL),3,2,0,7,15,0,1,0
RAS Lakmal (SL),11,6,3,7,11,2,1,0
ND McKenzie (SA),2,1,1,7,8,0,0,0
S Mahmood (ENG),3,2,1,7,7,0,1,0
A Nao (PNG),2,2,2,7,4,0,1,0
Naveen-ul-Haq (AFG),4,2,1,7,7,0,1,0
J Nyumbu (ZIM),2,2,2,7,11,0,1,0
Qadeer Ahmed (UAE),10,4,3,7,12,1,1,0
LH Rodrigues (),4,3,2,7,12,1,1,0
GA Rogers (SCOT),2,2,2,7,8,0,0,0
E Schiferli (NL),7,3,1,7,16,1,0,0
JN Snape (ENG),1,1,0,7,11,0,0,0
Suhail Sadiq (LUX),2,1,1,7,5,0,0,1
Sumair Khan (MALTA),1,1,0,7,6,0,1,0
Syed Rasel (BDESH),8,3,1,7,9,0,1,0
Tanveer Ahmed (HKG),5,2,1,7,11,1,1,0
LV van Beek (NL),8,4,1,7,15,0,0,0
Adnan Mufti (UAE),1,1,1,6,7,0,0,0
U Aryaman Sunil (SGP),2,1,0,6,4,0,0,1
TS Braat (NL),3,2,0,6,7,0,1,0
DG Brownlie (NZ),5,5,0,6,18,3,1,0
DE Burgess (Samoa),4,4,0,6,12,2,0,0
SDJJ Dima (Moz),4,2,0,6,8,0,0,0
RMS Eranga (SL),3,1,0,6,7,0,1,0
L Evile (Samoa),4,1,0,6,7,0,1,0
NM Hauritz (AUS),3,2,0,6,10,0,1,0
R Hekure (PNG),8,4,1,6,12,0,0,0
PJ Hughes (AUS),1,1,0,6,8,0,1,0
Javed Ahmadi (AFG),3,2,0,6,7,1,1,0
Jay Odedra (OMAN),3,1,1,6,6,0,0,0
D Maisuria (Botsw),6,3,2,6,11,1,0,0
I Master (Botsw),2,2,0,6,8,0,1,0
Z McLaughlin (Caym),3,2,2,6,16,0,0,0
KO Meth (ZIM),2,1,1,6,6,0,0,0
J Mulder (IRE),8,4,2,6,11,1,0,0
GBW Munaweera (QAT),5,1,1,6,7,0,0,0
L Ngidi (SA),7,2,1,6,9,0,0,0
Omar Hayat (DEN),2,2,0,6,4,0,0,0
JA Rudolph (SA),1,1,1,6,7,0,0,0
Shoaib Ali (Saudi),5,2,0,6,10,1,0,0
OF Smith (WI),2,1,0,6,5,0,1,0
R Strydom (IRE),4,2,1,6,7,0,0,0
HER Tyler (PHI),2,1,0,6,9,0,0,0
TC Vine (ESP),6,1,1,6,7,0,1,0
CA Young (IRE),26,7,5,6,11,0,0,0
SA Abbott (AUS),4,1,0,5,8,0,1,0
M Ansari (OMAN),11,4,4,5,10,0,0,0
Anwar Rahman (MAL),9,4,1,5,8,1,0,0
Arslan Ahmed (),3,1,0,5,13,0,0,0
MS Atapattu (SL),2,1,0,5,8,0,0,0
Atif Mehmood (ESP),9,2,2,5,8,0,0,0
MA Baig (MWI),7,4,0,5,12,3,1,0
A Bhagwat (HKG),4,4,0,5,16,1,0,0
A Bohara (NEPAL),17,5,2,5,12,2,0,0
IG Butler (NZ),19,6,5,5,10,0,0,0
T Caruana (GIBR),2,1,0,5,13,0,0,0
Hasheem Shahzad (MALTA),2,2,0,5,9,1,1,0
Imran Ali (KUW),4,2,1,5,6,1,0,0
Junaid Siddique (UAE),8,4,1,5,17,1,0,0
I Katzarski (),3,2,0,5,12,0,0,0
D Kegasitswe (Botsw),4,2,2,5,11,0,0,0
TCR Kimber (GUE),3,3,0,5,13,0,0,0
A Krishna (SGP),4,2,1,5,3,0,1,0
AM McCarthy (WI),1,1,0,5,8,0,0,0
GD McGrath (AUS),2,1,0,5,12,0,0,0
CS Martin (NZ),6,1,1,5,6,0,0,0
Mohammad Hasnain (PAK),4,3,2,5,12,0,1,0
Mohammad Salman (PAK),1,1,0,5,6,0,0,0
A Morris (Caym),6,4,2,5,17,1,0,0
GRD Munasinghe (ITA),8,4,1,5,13,2,1,0
T Mupariwa (ZIM),4,2,2,5,3,0,0,0
N M'shangwe (ZIM),5,2,1,5,4,1,1,0
A Nanda (LUX),3,1,0,5,5,0,1,0
GM Ntambalika (MWI),3,1,0,5,11,0,0,0
Parvez Rasool (INDIA),1,1,0,5,6,0,0,0
NK Patel (USA),4,2,1,5,10,1,0,0
D Paterson (SA),8,2,1,5,2,0,1,0
JL Pattinson (AUS),4,2,2,5,3,0,1,0
JE Pitcher (BMUDA),3,1,1,5,4,0,0,0
AG Prince (SA),1,1,0,5,6,0,0,0
K Rabada (SA),21,4,2,5,12,2,0,0
RJ Ranpura (OMAN),3,2,2,5,8,0,0,0
BM Scholtz (NAM),14,4,3,5,10,1,0,0
RJ Sidebottom (ENG),18,1,1,5,4,0,1,0
M Spry (Peru),4,2,1,5,11,0,0,0
R Telemachus (SA),3,1,1,5,3,0,0,0
BM Tickner (NZ),3,1,1,5,6,0,0,0
DR Tuffey (NZ),3,2,1,5,5,1,1,0
C Vorster (GUE),1,1,0,5,8,0,0,0
TD Astle (NZ),3,2,0,4,10,0,0,0
Baljit Singh (ITA),8,3,0,4,16,1,0,0
GJ Batty (ENG),1,1,0,4,7,0,0,0
P Bharat Patel (PNM),2,1,1,4,7,0,0,0
SR Bhudia (KENYA),4,3,1,4,16,1,0,0
JAR Blain (SCOT),6,3,1,4,5,1,0,0
CJ Boyce (AUS),7,2,1,4,7,0,0,0
PR Brown (ENG),4,1,1,4,9,0,0,0
NM Carter (SCOT),7,2,0,4,12,0,0,0
YS Chahal (INDIA),36,3,2,4,9,0,0,0
PC Connell (IRE),9,3,2,4,7,1,0,0
PA Desai (CAN),1,1,1,4,7,0,0,0
AB Dursak (TKY),4,4,0,4,24,2,0,0
C Emmott (Chile),2,2,0,4,11,1,0,0
Farhan Ahmed (UAE),3,1,0,4,8,0,0,0
K Gore (USA),4,1,1,4,3,0,0,0
Ibrahim Rizan (Mald),5,3,1,4,14,0,0,0
Imran Haider (UAE),11,2,2,4,8,0,0,0
H Ivanov (),3,1,0,4,6,0,0,0
A Karn (NEPAL),2,1,0,4,7,0,0,0
MF Koc (TKY),2,2,1,4,15,1,0,0
